id,name,category,one_liner,auth_methods,gating_type,api_surface,mcp_status,buildability_verdict,main_blocker,evidence_url,easy_win_score
76,Monday.com,8. Productivity and Project Management,"Work OS platform for building custom workflow apps, project management boards, and CRM.","API Token (Bearer), OAuth2",Self-Serve Free/Trial,"Extensive GraphQL API (2024-04 version) covering Boards, Items, Columns, Groups, Workspaces, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.monday.com/api-reference/docs,10
77,ClickUp,8. Productivity and Project Management,"All-in-one productivity platform replacing tasks, docs, chat, goals, and whiteboards.","Personal API Token (pk_...), OAuth2",Self-Serve Free/Trial,"REST API v2 covering Tasks, Lists, Folders, Spaces, Custom Fields, Time Tracking, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://clickup.com/api/,10
78,Coda,8. Productivity and Project Management,"Interactive all-in-one doc that brings words, data, and software together into one canvas.","API Token (Bearer), OAuth2 (Coda Packs)",Self-Serve Free/Trial,"REST API v1 covering Docs, Pages, Tables, Rows, Formulas, Controls, and Coda Packs SDK.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://coda.io/developers/apis/v1,10
79,Smartsheet,8. Productivity and Project Management,Enterprise spreadsheet-style work execution and collaborative project management platform.,"OAuth2, API Access Token (Bearer)",Self-Serve Free/Trial,"Complete REST API v2.0 for Sheets, Rows, Columns, Workspaces, Reports, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP),https://smartsheet.redoc.ly/,9
80,Harvest,8. Productivity and Project Management,"Time tracking, invoicing, and expense monitoring tool for professional service teams.","Personal Access Token (Bearer) + Account ID Header (Harvest-Account-Id), OAuth2",Self-Serve Free/Trial,"REST API v2 covering Time Entries, Projects, Clients, Invoices, Expenses, Users, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://help.getharvest.com/api-v2/,10
81,Stripe,9. Finance and Fintech,"Financial infrastructure platform for payment processing, billing, payouts, and financial services.","API Key (Secret Key sk_test_... / Restricted Keys), OAuth2 (Stripe Connect)",Self-Serve Free/Trial,"Gold-standard REST API covering Charges, Customers, Subscriptions, Invoices, PaymentIntents, and Webhooks.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.stripe.com/api,10
82,Plaid,9. Finance and Fintech,"Fintech API platform connecting consumers, traditional banks, and fintech apps.","Client ID + Secret (Headers: PLAID-CLIENT-ID, PLAID-SECRET), Link Token (JWT)",Self-Serve Free/Trial,"REST API covering Auth, Transactions, Balance, Identity, Investments, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://plaid.com/docs/api/,10
83,Binance,9. Finance and Fintech,"Global cryptocurrency exchange platform for spot, futures, margin trading, and staking.",API Key + HMAC SHA256 / RSA Signature (Header: X-MBX-APIKEY),Self-Serve Free/Trial,"High-throughput REST API, WebSocket Streams, and FIX protocol covering Market Data, Orders, Account, and Trades.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://binance-docs.github.io/apidocs/spot/en/,9
84,Paygent Connect,9. Finance and Fintech,Payment gateway and merchant processing platform for Japanese and international transactions (NMI ecosystem).,"Merchant ID + Hash Key / Basic Auth, Client Certificate (mTLS)",Enterprise/Sales Gate,"HTTPS POST / SOAP / REST Gateway interface for Credit Card, Convenience Store, and Bank Transfer payments.",None,Blocked: Enterprise Only,"Requires Japanese commercial merchant application, compliance vetting, and mTLS certificate provisioning.",https://www.paygent.co.jp/support/developer/,2
85,iPayX,9. Finance and Fintech,Next-generation autonomous agentic payments and crypto/fiat checkout gateway.,"API Key (Bearer Token), Webhook Signature",Self-Serve Free/Trial,"REST API for creating payment intents, checking transaction states, and receiving webhook receipts.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.ipayx.ai/,9
86,QuickBooks,9. Finance and Fintech,"Small business accounting software for managing invoices, payroll, expenses, and tax filing.",OAuth2 (Intuit Developer Portal),Self-Serve Free/Trial,"Broad Accounting REST API v3 covering Invoices, Bills, Customers, Accounts, Estimates, and Payments.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.intuit.com/app/developer/qbo/docs/api/accounting/most-popular/account,9
87,Xero,9. Finance and Fintech,"Cloud accounting software for small businesses, accountants, and bookkeepers.",OAuth2 (Authorization Code with PKCE / Client Credentials),Self-Serve Free/Trial,"Comprehensive REST APIs covering Accounting (Invoices, Contacts, Bank Transactions), Payroll, Projects, and Assets.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.xero.com/documentation/api/accounting/overview,9
88,Brex,9. Finance and Fintech,"Corporate cards, spend management, travel, and business banking platform for venture-backed startups.","OAuth2, User API Token (Bearer token generated in Dashboard)",Paid Tier Gate,"Modern REST APIs for Expenses, Cards, Transfers, Budgets, Webhooks, and Team Management.",Community MCP,Ready Today,None (Ready for Toolkit / MCP - Requires Brex corporate account for live testing),https://developer.brex.com/openapi/overview/,8
89,Ramp,9. Finance and Fintech,Finance automation and corporate card platform designed to optimize company spend.,OAuth2 (Client Credentials & Authorization Code),Paid Tier Gate,"REST API covering Cards, Transactions, Reimbursements, Bills, Accounting Sync, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP - Requires Ramp company account),https://docs.ramp.com/developer-api,8
90,PitchBook,9. Finance and Fintech,"Financial data and market intelligence provider covering global VC, PE, and M&A markets.",API Key / OAuth2,Enterprise/Sales Gate,"PitchBook Direct API (REST) for querying private company financials, valuations, deal histories, and investors.",None,Blocked: Enterprise Only,Requires private high-cost institutional enterprise contract; no public developer sandbox.,https://pitchbook.com/products/data-integrations/direct-data,1
91,NotebookLM,"10. AI, Research and Media-native",AI-powered personalized research assistant and source-grounded note-taking tool by Google Labs.,Google Workspace Enterprise OAuth / Gemini Enterprise API,Enterprise/Sales Gate,No direct public REST API for consumer NotebookLM; underlying capabilities exposed through Google Vertex AI / Gemini API.,Community MCP,Blocked: No Public API,No standalone public developer API for NotebookLM (consumer app is UI-only; enterprise uses Vertex AI).,https://cloud.google.com/vertex-ai/docs/generative-ai/overview,3
92,Otter AI,"10. AI, Research and Media-native","AI meeting assistant that records audio, writes notes, captures slides, and generates meeting summaries.",Session Cookie / Internal API Token (No official public developer API),Paid Tier Gate,"Internal REST API endpoints for fetching transcripts, folders, and summaries.",Community MCP,Community Wrapper Required,No official public developer API; relies on session token reverse engineering or enterprise webhook push.,https://help.otter.ai/hc/en-us,5
93,Fathom,"10. AI, Research and Media-native","AI Notetaker that records, transcribes, highlights, and summarizes Zoom, Google Meet, and Teams meetings.",API Key (Bearer Token),Self-Serve Free/Trial,"REST API covering Meetings, Transcripts, Summaries, Action Items, Highlights, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://fathom.video/docs/api,10
94,Consensus,"10. AI, Research and Media-native",AI search engine for scientific research papers that extracts evidence-based claims and consensus meters.,API Key (Bearer Token) / Academic Partnership,Paid Tier Gate,"REST API for searching 200M+ research papers, retrieving syntheses, and getting study metadata.",Community MCP,Ready Today,None (Ready for Toolkit / MCP - Requires API access approval),https://consensus.app/,7
95,Reducto,"10. AI, Research and Media-native",High-accuracy vision-based document ingestion and layout-preserving PDF parsing API for LLMs.,API Key (Bearer Token),Self-Serve Free/Trial,"REST API and Python/Node SDKs for /parse, /extract, /split, and async job polling.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.reducto.ai/api-reference/introduction,10
96,Devin,"10. AI, Research and Media-native","Autonomous AI software engineer by Cognition that builds, debugs, and deploys applications end-to-end.",API Key (Bearer / Cognition API Token),Paid Tier Gate,"REST API and official Model Context Protocol (MCP) server for starting sessions, polling status, and dispatching code tasks.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.devin.ai/,10
97,higgsfield,"10. AI, Research and Media-native",Video AI and cinematic motion generation platform for content creators and marketers.,API Key (Bearer Token) / CLI Token,Self-Serve Free/Trial,"REST API and Python CLI (`higgsfield`) for generating video animations, character motion, and rendering.",None,Ready Today,None (Ready for Toolkit / MCP),https://higgsfield.ai/,8
98,Mermaid CLI,"10. AI, Research and Media-native","Command-line interface for Mermaid diagram generation (compiles text definitions into SVG, PNG, and PDF).",No Auth (Local NPM CLI / Docker / Puppeteer),Self-Serve Free/Trial,Command Line (`mmdc -i input.mmd -o output.svg`) and Node.js programmatic API.,Official MCP,Ready Today,None (Ready for Toolkit / MCP - Local execution),https://github.com/mermaid-js/mermaid-cli,10
99,YouTube Transcript,"10. AI, Research and Media-native","Fast, high-reliability API to extract clean captions and transcripts from any YouTube video URL.","API Key (Bearer Token), No Auth (Open Source youtube-transcript-api Python package)",Self-Serve Free/Trial,REST API (`/transcript?video_id=...`) and Python package for caption scraping.,Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://transcriptapi.com/,10
100,Grain,"10. AI, Research and Media-native","AI meeting recorder, summarizer, and CRM revenue intelligence note-taker.","API Key (Bearer Token), OAuth2",Paid Tier Gate,"REST API covering Recordings, Transcripts, Highlights, Stories, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP - Requires Business plan),https://grain.com/,8
